Title: Young Stellar Objects in the Gould Belt 
Authors: Dunham M.M., Allen L.E., Evans N.J., Broekhoven-Fiene H., Cieza L.A., 
         Francesco J.D., Gutermuth R.A., Harvey P.M., Hatchell J., Heiderman A.,
         Huard T.L., Johnstone D., Kirk J.M., Matthews B.C., Miller J.F., 
         Peterson D.E., Young K.E. 
Table: Properties of the c2d+GB YSOs
================================================================================
Byte-by-byte Description of file: apjs519129t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---    Index   Index
   6- 21 A16    ---    Cloud   Cloud identifier
  23- 38 A16    ---    ID      SSTc2d or SSTgb + Spitzer source name  
  40- 43 F4.1   mag    AV      The V band extinction 
  45- 51 F7.2   ---    alpha   Observed spectral index
  53- 58 F6.1   K      Tbol    Observed bolometric temperature
  60- 69 F10.5  solLum Lbol    Observed bolometric luminosity
  71- 77 F7.2   ---    alpha'  Extinction corrected spectral index
  79- 84 F6.1   K      Tbol'   Extinction corrected bolometric temperature
  86- 95 F10.5  solLum Lbol'   Extinction corrected bolometric luminosity
  97- 97 A1     ---    AGB?    A likely AGB? Y or N
  99- 99 A1     ---    Core?   Source has a core?
--------------------------------------------------------------------------------
   1 Aquila           J180144.8-044941  8.2   -2.16 1700.     3.0       -2.52 2000.     8.2     N - 
   2 Aquila           J180145.8-045902  8.0   -2.14 1700.     1.4       -2.56 2000.     3.7     N - 
   3 Aquila           J180154.2-043753 12.4   -2.57 2100.     0.52      -3.22 2600.     4.7     Y - 
   4 Aquila           J180229.2-051552  8.3   -2.03 1700.     3.6       -2.38 2000.     9.8     N - 
   5 Aquila           J180302.0-044233 12.4   -2.45 2100.     0.11      -3.15 2500.     0.92    N - 
   6 Aquila           J180308.0-043523  8.0   -2.18 1700.     0.24      -2.52 2000.     0.64    Y - 
   7 Aquila           J180313.8-042845  6.9   -2.22 1800.     0.72      -2.53 2000.     1.7     Y - 
   8 Aquila           J180423.9-042248  9.0   -2.15 1700.     2.2       -2.44 2000.     6.3     Y - 
   9 Aquila           J180435.7-044700  8.1   -2.26 1700.     1.9       -2.65 2000.     5.3     Y - 
  10 Aquila           J180444.5-043706 12.4    0.53  540.     0.055     -0.10 1000.     0.11    N - 
  11 Aquila           J180449.2-043641  6.4   -0.77 1300.     0.38      -1.35 1600.     0.72    N - 
  12 Aquila           J180449.3-043639 12.4   -1.17  580.     0.064     -1.40  620.     0.11    N - 
  13 Aquila           J180451.4-043604  7.6   -0.67 1100.     0.79      -0.86 1500.     1.5     N - 
  14 Aquila           J180512.6-045225  7.1   -2.06 1800.     1.2       -2.44 2000.     3.0     N - 
  15 Aquila           J180516.2-044818  8.2   -2.08 1500.     1.6       -2.11 1900.     4.2     Y - 
  16 Aquila           J180519.4-041840  8.8   -2.00 1500.     0.75      -2.07 1900.     2.0     N - 
  17 Aquila           J180531.1-043809 12.4    0.23  290.     0.013      0.00  340.     0.019   N - 
  18 Aquila           J180538.4-041601  7.7   -2.18 1700.     1.0       -2.54 2000.     2.6     N - 
  19 Aquila           J180559.6-035928  7.7   -1.75 1600.     1.6       -1.98 1900.     4.0     N - 
  20 Aquila           J180602.5-042335  7.8   -2.26 1700.     0.43      -2.52 2000.     1.1     Y - 
  21 Aquila           J180614.4-042356  7.2   -2.10 1700.     0.92      -2.37 2000.     2.2     N - 
  22 Aquila           J180624.7-044533  7.9   -2.16 1700.     3.0       -2.53 2000.     8.1     N - 
  23 Aquila           J180629.7-045022  7.1   -2.23 1800.     6.0       -2.61 2000.    15.      Y - 
  24 Aquila           J180635.1-042515  5.9   -2.12 1600.     0.65      -2.04 1900.     1.3     Y - 
  25 Aquila           J180651.2-040827  8.5   -2.17 1700.     4.3       -2.54 2000.    12.      N - 
  26 Aquila           J180652.1-044349  8.8   -2.02 1700.     0.67      -2.39 2000.     2.0     N - 
  27 Aquila           J180701.6-044311  7.3   -2.22 1800.     0.15      -2.61 2000.     0.38    Y - 
  28 Aquila           J180733.2-044127 11.5   -2.12 1600.     1.4       -2.54 2000.     5.3     Y - 
  29 Aquila           J180916.7-030928  6.7   -2.02 1800.     0.91      -2.37 2000.     2.1     N - 
  30 Aquila           J180935.4-030918  6.4   -2.30 1800.     1.9       -2.52 2000.     4.2     Y - 
  31 Aquila           J181028.9-023742 12.4   -0.18  690.     8.9       -0.12  850.    18.      N - 
  32 Aquila           J181052.3-024344  6.9   -2.16 1800.     1.1       -2.52 2000.     2.6     N - 
  33 Aquila           J181128.4-023147  7.3   -2.37 1800.     1.2       -2.68 2000.     3.0     Y - 
  34 Aquila           J181211.8-033118  7.4   -2.15 1700.     1.3       -2.47 2000.     3.2     Y - 
  35 Aquila           J181231.8-033618  8.4   -1.74 1400.     4.2       -1.65 1700.     9.9     N - 
  36 Aquila           J181320.4-032425  7.0   -2.14 1700.     0.64      -2.45 2000.     1.6     N - 
  37 Aquila           J181327.6-032351  6.5   -2.16 1800.     1.2       -2.42 2000.     2.6     N - 
  38 Aquila           J181333.3-031850 14.2   -1.79 1400.     2.7       -2.23 1900.    12.      N - 
  39 Aquila           J181353.9-031903  7.9   -2.21 1700.     3.9       -2.55 2000.    11.      Y - 
  40 Aquila           J181425.9-034348  5.9   -1.95 1700.     0.56      -2.08 1900.     1.1     N - 
  41 Aquila           J181426.5-033413  7.2   -2.07 1800.     3.0       -2.52 2000.     7.4     N - 
  42 Aquila           J181430.4-032411  7.6   -2.05 1700.     1.5       -2.42 2000.     3.9     N - 
  43 Aquila           J181442.3-033805  5.9   -1.62 1600.     1.6       -1.90 1900.     3.2     N - 
  44 Aquila           J181444.5-032352  7.5   -2.18 1800.     1.4       -2.61 2000.     3.6     N - 
  45 Aquila           J181456.8-033620  9.9   -1.96 1700.     9.1       -2.50 2000.    30.      N - 
  46 Aquila           J181459.6-032724  7.6   -2.23 1700.     2.2       -2.47 2000.     5.7     Y - 
  47 Aquila           J181506.2-032441  6.8   -2.10 1600.     0.56      -2.05 1900.     1.2     Y - 
  48 Aquila           J181539.1-031705  8.2   -2.08 1600.     2.4       -2.21 1900.     6.2     Y - 
  49 Aquila           J181550.3-033435  8.4   -2.18 1700.     0.72      -2.51 2000.     2.0     Y - 
  50 Aquila           J181559.9-033158  6.3   -2.41 1800.     0.046     -2.63 2000.     0.10    Y - 
  51 Aquila           J181623.8-033224  6.4   -2.31 1800.     0.21      -2.57 2000.     0.47    Y - 
  52 Aquila           J181631.6-030945  5.4   -2.17 1800.     0.41      -2.41 2000.     0.81    Y - 
  53 Aquila           J181635.6-032449  7.7   -2.25 1700.     1.1       -2.54 2000.     2.8     Y - 
  54 Aquila           J182019.0-025105  8.2   -2.13 1700.     0.35      -2.48 2000.     0.96    N - 
  55 Aquila           J182036.2-024147  6.7   -2.12 1600.     2.4       -2.09 1900.     5.2     Y - 
  56 Aquila           J182107.6-024435  4.7   -2.38 1900.     0.19      -2.65 2000.     0.36    N - 
  57 Aquila           J182107.9-030533 10.2   -2.16 1700.     0.20      -2.54 2000.     0.69    Y - 
  58 Aquila           J182120.7-030429  9.8   -2.19 1700.     1.0       -2.53 2000.     3.3     Y - 
  59 Aquila           J182134.1-032021  7.7   -2.16 1700.     0.97      -2.48 2000.     2.5     N - 
  60 Aquila           J182140.0-031829  4.4   -2.01 1800.     0.025     -2.31 2000.     0.044   N - 
  61 Aquila           J182140.3-031833  8.2   -1.73 1500.     1.0       -1.92 1800.     2.5     N - 
  62 Aquila           J182149.8-025504  7.2   -2.14 1600.     0.60      -2.20 1900.     1.4     Y - 
  63 Aquila           J182159.3-025932 10.3   -2.07 1600.     0.59      -2.38 2000.     2.0     N - 
  64 Aquila           J182202.8-031941 10.1   -2.19 1600.     0.93      -2.52 2000.     3.1     Y - 
  65 Aquila           J182211.9-030508 11.3   -1.33 1500.     8.0       -1.93 1900.    28.      N - 
  66 Aquila           J182212.8-025745  8.6   -2.01 1700.     2.2       -2.40 2000.     6.2     N - 
  67 Aquila           J182219.0-025253  8.3   -2.25 1700.     2.0       -2.53 2000.     5.5     Y - 
  68 Aquila           J182221.0-025533  7.4   -1.90 1700.     8.6       -2.35 2000.    22.      N - 
  69 Aquila           J182224.6-030522  9.7   -1.93 1600.     1.2       -2.33 2000.     3.8     N - 
  70 Aquila           J182225.7-031449 10.7   -2.18 1600.     0.51      -2.58 2000.     1.8     Y - 
  71 Aquila           J182240.2-030651  7.3   -2.26 1800.     1.2       -2.56 2000.     3.1     Y - 
  72 Aquila           J182240.2-031317 10.3   -2.10 1700.     1.3       -2.55 2000.     4.5     N - 
  73 Aquila           J182240.8-032220  9.1   -2.18 1700.     0.92      -2.49 2000.     2.8     Y - 
  74 Aquila           J182243.8-031835 10.3   -2.11 1600.     4.2       -2.42 1900.    14.      Y - 
  75 Aquila           J182249.5-030714  8.5   -2.02 1700.     0.51      -2.42 2000.     1.4     N - 
  76 Aquila           J182259.7-030934  2.3   -2.10 1900.     0.11      -2.23 2000.     0.15    N - 
  77 Aquila           J182303.3-024931  8.0   -2.29 1700.     6.1       -2.62 2000.    17.      Y - 
  78 Aquila           J182305.5-030023 11.6   -2.12 1600.     1.1       -2.54 2000.     4.5     N - 
  79 Aquila           J182309.8-031035  9.5   -2.06 1600.     1.6       -2.25 1900.     4.8     N - 
  80 Aquila           J182313.8-025514 12.0   -2.03 1600.     1.2       -2.43 1900.     4.7     N - 
  81 Aquila           J182316.4-025201  8.4   -2.16 1700.     1.1       -2.39 2000.     3.1     Y - 
  82 Aquila           J182323.1-031350  9.9   -1.62 1300.     0.84      -1.63 1700.     2.3     N - 
  83 Aquila           J182326.0-030451  5.8   -2.34 1800.     0.032     -2.61 2000.     0.068   N - 
  84 Aquila           J182333.0-030703  9.2   -2.14 1700.     0.66      -2.51 2000.     2.0     N - 
  85 Aquila           J182337.6-024412  6.7   -2.21 1800.     3.0       -2.58 2000.     7.0     N - 
  86 Aquila           J182338.2-030845  9.2   -2.15 1700.     1.9       -2.44 2000.     5.7     Y - 
  87 Aquila           J182346.9-024855  7.3   -2.31 1800.     2.2       -2.64 2000.     5.5     Y - 
  88 Aquila           J182350.9-031931  8.5   -2.25 1700.     0.73      -2.54 2000.     2.1     Y - 
  89 Aquila           J182405.6-024536  7.2   -2.13 1600.     0.56      -2.19 1900.     1.3     Y - 
  90 Aquila           J182412.3-031042  9.0   -2.17 1700.     2.2       -2.50 2000.     6.4     Y - 
  91 Aquila           J182415.0-030009 12.7   -1.36 1400.     1.0       -1.85 1800.     3.8     N - 
  92 Aquila           J182416.5-024522  6.6   -2.13 1700.     8.6       -2.22 1900.    19.      Y - 
  93 Aquila           J182420.6-025840  8.8   -2.20 1700.     3.3       -2.46 2000.     9.6     Y - 
  94 Aquila           J182430.2-025916 12.0   -2.12 1600.     0.94      -2.51 2000.     3.8     Y - 
  95 Aquila           J182432.2-031308 11.8   -1.85 1300.     1.1       -1.88 1800.     3.6     N - 
  96 Aquila           J182436.6-025013 10.9   -1.42 1300.     6.7       -1.76 1800.    21.      N - 
  97 Aquila           J182501.6-025909  9.7   -2.16 1700.     2.4       -2.55 2000.     7.8     Y - 
  98 Aquila           J182505.0-025149 11.8   -1.57 1400.     6.1       -2.00 1900.    22.      N - 
  99 Aquila           J182507.8-030607  9.6   -1.86 1500.     0.70      -2.12 1900.     2.1     N - 
 100 Aquila           J182509.9-030414 11.8   -2.10 1600.     5.7       -2.53 2000.    23.      Y - 
 101 Aquila           J182511.3-025853 12.4    1.12  190.     0.27       0.89  230.     0.36    N - 
 102 Aquila           J182513.3-025954 12.4   -0.03  560.     0.49      -0.29  760.     0.87    N - 
 103 Aquila           J182521.5-030836  7.9   -2.30 1700.     1.5       -2.43 2100.     4.3     Y - 
 104 Aquila           J182524.0-024721  6.9   -1.73 1600.     1.5       -1.96 1900.     3.3     N - 
 105 Aquila           J182540.9-030325  8.5   -2.05 1700.     0.46      -2.46 2000.     1.3     N - 
 106 Aquila           J182547.9-035059  6.5   -2.12 1700.     2.7       -2.23 1900.     5.9     Y - 
 107 Aquila           J182557.6-035704  4.5   -2.02 1700.     0.081     -2.37 1900.     0.14    N - 
 108 Aquila           J182559.4-033940 10.0   -1.87 1600.     3.3       -2.23 1900.    10.      N - 
 109 Aquila           J182600.2-034807  7.4   -2.11 1700.     0.98      -2.46 2000.     2.4     N - 
 110 Aquila           J182604.3-035634  9.2   -2.09 1700.     1.2       -2.46 2000.     3.6     N - 
 111 Aquila           J182606.7-030518  8.6   -2.22 1700.     4.3       -2.57 2000.    12.      Y - 
 112 Aquila           J182617.4-033719  7.9   -2.16 1700.     2.9       -2.52 2000.     7.7     N - 
 113 Aquila           J182625.8-032919  8.4   -2.16 1700.     2.0       -2.60 2000.     5.7     N - 
 114 Aquila           J182626.5-032710  8.5   -2.23 1700.     0.85      -2.62 2000.     2.4     Y - 
 115 Aquila           J182632.8-034627 12.4    0.08  520.     0.043     -0.17  700.     0.076   N - 
 116 Aquila           J182634.7-030028 10.3   -2.16 1600.     0.20      -2.49 2000.     0.67    Y - 
 117 Aquila           J182637.7-025437  6.7   -2.14 1700.     0.33      -2.37 2000.     0.76    N - 
 118 Aquila           J182637.8-024551  6.3   -2.20 1800.     0.60      -2.47 2000.     1.3     Y - 
 119 Aquila           J182638.8-025259  7.2   -2.36 1800.    14.        -2.74 2000.    36.      Y - 
 120 Aquila           J182640.8-034527  4.6   -1.56 1700.     0.036     -1.80 1900.     0.062   N - 
 121 Aquila           J182645.9-034430  9.8   -0.71 1200.     0.13      -1.27 1700.     0.33    N - 
 122 Aquila           J182649.7-035559  6.8   -0.77 1400.     0.16      -1.53 1800.     0.34    N - 
 123 Aquila           J182649.9-031730  7.9   -1.83 1700.     5.3       -2.36 2000.    14.      N - 
 124 Aquila           J182650.2-025856 15.0   -1.41 1300.     0.88      -1.92 1800.     4.1     N - 
 125 Aquila           J182651.9-035134 12.3   -1.65 1300.     1.5       -1.82 1800.     5.1     N - 
 126 Aquila           J182652.1-030926  7.0   -2.38 1800.     4.7       -2.69 2000.    12.      Y - 
 127 Aquila           J182654.2-030351  7.8   -2.22 1700.     1.2       -2.47 2000.     3.2     Y - 
 128 Aquila           J182655.0-033219  9.7   -2.19 1700.     0.82      -2.59 2000.     2.7     N - 
 129 Aquila           J182658.3-032254  9.2   -2.00 1600.     2.4       -2.31 1900.     7.2     N - 
 130 Aquila           J182659.8-031409  6.2   -1.93 1800.     0.69      -2.32 2000.     1.5     N - 
