N(H2)     Frac NH3
      20.5000      0.00000
      20.5862      0.00000
      20.6724      0.00000
      20.7586      0.00000
      20.8448      0.00000
      20.9310      0.00000
      21.0172      0.00000
      21.1034      0.00000
      21.1897   0.00961538
      21.2759    0.0118577
      21.3621    0.0314465
      21.4483    0.0662461
      21.5345     0.173333
      21.6207     0.283276
      21.7069     0.442897
      21.7931     0.561350
      21.8793     0.656489
      21.9655     0.926471
      22.0517     0.962264
      22.1379      1.00000
      22.2241      1.00000
      22.3103      1.00000
      22.3966      1.00000
      22.4828      1.00000
      22.5690      1.00000
      22.6552      1.00000
      22.7414      1.00000
      22.8276      1.00000
      22.9138      1.00000
      23.0000      1.00000
