     N(H2)     Frac NH3
      20.5000      0.00000
      20.6042      0.00000
      20.7083    0.0112360
      20.8125   0.00531915
      20.9167   0.00404858
      21.0208   0.00200000
      21.1250   0.00426621
      21.2292   0.00438871
      21.3333   0.00903751
      21.4375    0.0276423
      21.5417     0.111489
      21.6458     0.230228
      21.7500     0.359456
      21.8542     0.580867
      21.9583     0.909017
      22.0625     0.988216
      22.1667      1.00000
      22.2708      1.00000
      22.3750      1.00000
      22.4792      1.00000
      22.5833      1.00000
      22.6875      1.00000
      22.7917      1.00000
      22.8958      1.00000
      23.0000      1.00000
