N(H2)     Frac NH3
      20.5000      0.00000
      20.5862      0.00000
      20.6724      0.00000
      20.7586      0.00000
      20.8448   0.00285714
      20.9310   0.00180766
      21.0172   0.00271672
      21.1034   0.00304692
      21.1897   0.00320114
      21.2759   0.00513667
      21.3621    0.0199074
      21.4483    0.0722389
      21.5345     0.162619
      21.6207     0.253816
      21.7069     0.350664
      21.7931     0.436816
      21.8793     0.632952
      21.9655     0.819239
      22.0517     0.924713
      22.1379      1.00000
      22.2241      1.00000
      22.3103      1.00000
      22.3966      1.00000
      22.4828      1.00000
      22.5690      1.00000
      22.6552      1.00000
      22.7414      1.00000
      22.8276      1.00000
      22.9138      1.00000
      23.0000      1.00000
